15	10	E	-9223384.010276219	163
emissionprobs	10	4	H3K09me3	0	0.9954418906827763
emissionprobs	10	4	H3K09me3	1	0.004558109317223664
emissionprobs	10	5	H3K27ac	0	0.11302045955653454
emissionprobs	10	5	H3K27ac	1	0.8869795404434654
emissionprobs	10	6	H3K27me3	0	0.9963970189208996
emissionprobs	10	6	H3K27me3	1	0.0036029810791004383
emissionprobs	10	7	H3K36me3	0	0.9876425161098877
emissionprobs	10	7	H3K36me3	1	0.01235748389011222
emissionprobs	10	8	H3K79me2	0	0.9474488300769406
emissionprobs	10	8	H3K79me2	1	0.05255116992305938
emissionprobs	10	9	H4K20me1	0	0.9958250009547849
emissionprobs	10	9	H4K20me1	1	0.004174999045215054
emissionprobs	11	0	H3K04me1	0	0.9604504895980712
emissionprobs	11	0	H3K04me1	1	0.03954951040192886
emissionprobs	11	1	H3K04me2	0	0.19401088694975502
emissionprobs	11	1	H3K04me2	1	0.805989113050245
emissionprobs	11	2	H3K04me3	0	0.017361968840126744
emissionprobs	11	2	H3K04me3	1	0.9826380311598732
emissionprobs	11	3	H3K09ac	0	0.04175089894487793
emissionprobs	11	3	H3K09ac	1	0.9582491010551221
emissionprobs	11	4	H3K09me3	0	0.9946341632967985
emissionprobs	11	4	H3K09me3	1	0.005365836703201507
emissionprobs	11	5	H3K27ac	0	0.023069623854407913
emissionprobs	11	5	H3K27ac	1	0.9769303761455921
emissionprobs	11	6	H3K27me3	0	0.9720931811035899
emissionprobs	11	6	H3K27me3	1	0.027906818896410023
emissionprobs	11	7	H3K36me3	0	0.9989075131239198
emissionprobs	11	7	H3K36me3	1	0.001092486876080243
emissionprobs	11	8	H3K79me2	0	0.9816836064791175
emissionprobs	11	8	H3K79me2	1	0.018316393520882563
emissionprobs	11	9	H4K20me1	0	0.9992388210629131
emissionprobs	11	9	H4K20me1	1	7.611789370869323E-4
emissionprobs	12	0	H3K04me1	0	0.9375318138522482
emissionprobs	12	0	H3K04me1	1	0.06246818614775189
emissionprobs	12	1	H3K04me2	0	0.059418166714546465
emissionprobs	12	1	H3K04me2	1	0.9405818332854536
emissionprobs	12	2	H3K04me3	0	1.412928280588494E-57
emissionprobs	12	2	H3K04me3	1	1.0
emissionprobs	12	3	H3K09ac	0	0.0010749766783143045
emissionprobs	12	3	H3K09ac	1	0.9989250233216858
emissionprobs	12	4	H3K09me3	0	0.9943077241887162
emissionprobs	12	4	H3K09me3	1	0.005692275811283871
emissionprobs	12	5	H3K27ac	0	0.006990277697570084
emissionprobs	12	5	H3K27ac	1	0.99300972230243
emissionprobs	12	6	H3K27me3	0	0.9982943994341964
emissionprobs	12	6	H3K27me3	1	0.0017056005658036347
emissionprobs	12	7	H3K36me3	0	0.9047891332583066
emissionprobs	12	7	H3K36me3	1	0.09521086674169343
emissionprobs	12	8	H3K79me2	0	0.016597438331224464
emissionprobs	12	8	H3K79me2	1	0.9834025616687756
emissionprobs	12	9	H4K20me1	0	0.9306208255741335
emissionprobs	12	9	H4K20me1	1	0.06937917442586654
emissionprobs	13	0	H3K04me1	0	0.06486705937431132
emissionprobs	13	0	H3K04me1	1	0.9351329406256886
emissionprobs	13	1	H3K04me2	0	0.025621867369097162
emissionprobs	13	1	H3K04me2	1	0.9743781326309028
emissionprobs	13	2	H3K04me3	0	0.2638363174048801
emissionprobs	13	2	H3K04me3	1	0.73616368259512
emissionprobs	13	3	H3K09ac	0	0.1523812979313412
emissionprobs	13	3	H3K09ac	1	0.8476187020686589
emissionprobs	13	4	H3K09me3	0	0.9907208797493088
emissionprobs	13	4	H3K09me3	1	0.009279120250691275
emissionprobs	13	5	H3K27ac	0	0.25386748687552196
emissionprobs	13	5	H3K27ac	1	0.7461325131244779
emissionprobs	13	6	H3K27me3	0	0.9998246935290159
emissionprobs	13	6	H3K27me3	1	1.7530647098406055E-4
emissionprobs	13	7	H3K36me3	0	0.7498239827315696
emissionprobs	13	7	H3K36me3	1	0.2501760172684304
emissionprobs	13	8	H3K79me2	0	0.03613370699329962
emissionprobs	13	8	H3K79me2	1	0.9638662930067005
emissionprobs	13	9	H4K20me1	0	0.8292731250602112
emissionprobs	13	9	H4K20me1	1	0.1707268749397887
emissionprobs	14	0	H3K04me1	0	0.13544267290640472
emissionprobs	14	0	H3K04me1	1	0.8645573270935953
emissionprobs	14	1	H3K04me2	0	0.05536912706172839
emissionprobs	14	1	H3K04me2	1	0.9446308729382716
emissionprobs	14	2	H3K04me3	0	0.7920531646152623
emissionprobs	14	2	H3K04me3	1	0.20794683538473768
emissionprobs	14	3	H3K09ac	0	0.8474336015244588
emissionprobs	14	3	H3K09ac	1	0.15256639847554115
emissionprobs	14	4	H3K09me3	0	0.9942546103265589
emissionprobs	14	4	H3K09me3	1	0.005745389673441092
emissionprobs	14	5	H3K27ac	0	0.9133812724361783
emissionprobs	14	5	H3K27ac	1	0.08661872756382168
emissionprobs	14	6	H3K27me3	0	0.9987406347359795
emissionprobs	14	6	H3K27me3	1	0.001259365264020504
emissionprobs	14	7	H3K36me3	0	0.9895842575891951
emissionprobs	14	7	H3K36me3	1	0.010415742410804922
emissionprobs	14	8	H3K79me2	0	0.9832869414599626
emissionprobs	14	8	H3K79me2	1	0.016713058540037337
emissionprobs	14	9	H4K20me1	0	0.9944158419736903
emissionprobs	14	9	H4K20me1	1	0.005584158026309684
emissionprobs	15	0	H3K04me1	0	0.7966103599627903
emissionprobs	15	0	H3K04me1	1	0.2033896400372097
emissionprobs	15	1	H3K04me2	0	0.23540761615327005
emissionprobs	15	1	H3K04me2	1	0.7645923838467299
emissionprobs	15	2	H3K04me3	0	0.561740258998618
emissionprobs	15	2	H3K04me3	1	0.438259741001382
emissionprobs	15	3	H3K09ac	0	0.9226650638030309
emissionprobs	15	3	H3K09ac	1	0.07733493619696909
emissionprobs	15	4	H3K09me3	0	0.972051585968066
emissionprobs	15	4	H3K09me3	1	0.02794841403193409
emissionprobs	15	5	H3K27ac	0	0.8840957989695504
emissionprobs	15	5	H3K27ac	1	0.11590420103044966
emissionprobs	15	6	H3K27me3	0	0.7449295296432605
emissionprobs	15	6	H3K27me3	1	0.2550704703567395
emissionprobs	15	7	H3K36me3	0	0.9975933625327758
emissionprobs	15	7	H3K36me3	1	0.00240663746722432
emissionprobs	15	8	H3K79me2	0	0.9925781657028458
emissionprobs	15	8	H3K79me2	1	0.007421834297154194
emissionprobs	15	9	H4K20me1	0	0.9845904469997383
emissionprobs	15	9	H4K20me1	1	0.015409553000261653
